Project,Date,Close,Volume
numerai,2017-11-09,11.9538,141569
numerai,2017-11-10,10.5722,112071
numerai,2017-11-11,11.0462,80678
numerai,2017-11-12,9.27841,173095
numerai,2017-11-13,10.9558,205472
numerai,2017-11-14,11.4357,230431
numerai,2017-11-15,12.1356,54061
numerai,2017-11-16,11.3235,77997
numerai,2017-11-17,10.8618,75965
numerai,2017-11-18,10.8388,82896
numerai,2017-11-19,11.6919,76904
numerai,2017-11-20,11.3391,95402
numerai,2017-11-21,11.7271,101439
numerai,2017-11-22,12.6659,88340
numerai,2017-11-23,12.9187,142849
numerai,2017-11-24,13.2431,463045
numerai,2017-11-25,15.0279,2402960
numerai,2017-11-26,15.8693,765795
numerai,2017-11-27,15.7046,230823
numerai,2017-11-28,15.2747,268716
numerai,2017-11-29,18.5812,15692200
numerai,2017-11-30,28.740299,12740600
numerai,2017-12-01,31.1675,5357520
numerai,2017-12-02,28.0578,2238660
numerai,2017-12-03,26.4422,1014340
numerai,2017-12-04,28.066099,1829210
numerai,2017-12-05,25.782301,1661810
numerai,2017-12-06,21.039101,1638700
numerai,2017-12-07,21.058901,2525910
numerai,2017-12-08,20.9063,631112
numerai,2017-12-09,23.5977,1498680
numerai,2017-12-10,22.528799,566956
numerai,2017-12-11,23.0944,446697
numerai,2017-12-12,23.768801,875810
numerai,2017-12-13,23.0623,767783
numerai,2017-12-14,22.7199,1160180
numerai,2017-12-15,23.255199,792173
numerai,2017-12-16,23.959101,659992
numerai,2017-12-17,26.0646,1560870
numerai,2017-12-18,28.8804,2334750
numerai,2017-12-19,27.5271,3686380
numerai,2017-12-20,27.222601,1732090
numerai,2017-12-21,29.7605,4075520
numerai,2017-12-22,23.0574,1415950
numerai,2017-12-23,26.011499,1496370
numerai,2017-12-24,27.534,1676120
numerai,2017-12-25,34.457699,11398800
numerai,2017-12-26,32.020599,3065750
numerai,2017-12-27,34.526199,4108750
numerai,2017-12-28,34.199402,2654990
numerai,2017-12-29,33.163399,2701510
numerai,2017-12-30,28.765699,980391
numerai,2017-12-31,32.972698,1772510
numerai,2018-01-01,39.871601,3185660
numerai,2018-01-02,37.6241,4444740
numerai,2018-01-03,37.9851,1963410
numerai,2018-01-04,37.4785,1969820
numerai,2018-01-05,31.546101,2973030
numerai,2018-01-06,32.348202,1994520
numerai,2018-01-07,41.864498,3964570
numerai,2018-01-08,48.6525,13689600
numerai,2018-01-09,45.1745,2434220
numerai,2018-01-10,49.001202,6762780
numerai,2018-01-11,41.797699,1909610
numerai,2018-01-12,44.020302,1037880
numerai,2018-01-13,52.162201,1651270
numerai,2018-01-14,46.145401,1069050
numerai,2018-01-15,39.061699,3260030
numerai,2018-01-16,28.971399,1565370
numerai,2018-01-17,28.5812,751546
numerai,2018-01-18,32.9091,1528400
numerai,2018-01-19,33.520802,1317430
numerai,2018-01-20,34.451199,849290
numerai,2018-01-21,27.541599,2894980
numerai,2018-01-22,27.3978,729378
numerai,2018-01-23,27.1208,341714
numerai,2018-01-24,28.2698,537748
numerai,2018-01-25,27.865801,390559
numerai,2018-01-26,26.5868,225736
numerai,2018-01-27,28.682699,2537640
numerai,2018-01-28,29.6537,653506
numerai,2018-01-29,26.875999,244029
numerai,2018-01-30,22.6432,1308300
numerai,2018-01-31,21.5965,331054
numerai,2018-02-01,19.007401,462444
numerai,2018-02-02,17.7659,616822
numerai,2018-02-03,19.9485,541258
numerai,2018-02-04,15.8042,195834
numerai,2018-02-05,13.3511,198028
numerai,2018-02-06,15.1478,450845
numerai,2018-02-07,15.8368,256991
numerai,2018-02-08,15.5266,259982
numerai,2018-02-09,16.1569,243876
numerai,2018-02-10,19.393801,1233990
numerai,2018-02-11,18.3139,596317
